Season,Arabica Bearing Area (ha.),Robusta Bearing Area (ha.),Total Bearing Area (ha.),Arabica Production (MT),Robusta Production (MT),Total Production (MT),Arabica Productivity (kg/ha),Robusta Productivity (kg/ha),Overall Productivity (kg/ha)
1950-51,67613,24910,92523,15511,3382,18893,229,136,204
1960-61,70649,49672,120321,39526,28643,68169,559,577,567
1970-71,80433,55030,135463,58348,51883,110231,725,943,814
1980-81,98005,92071,190076,61262,57384,118646,625,623,624
1985-86,108476,106000,214476,72311,50139,122450,667,473,571
1986-87,108500,107000,215500,88975,103119,192094,820,964,891
1987-88,108500,109500,218000,64556,58157,122713,595,531,563
1988-89,108500,112500,221000,94781,119934,214715,874,1066,972
1989-90,108500,112500,221000,62572,55481,118053,577,493,534
1990-91,108500,115000,223500,78311,91415,169726,722,795,759
1991-92,108500,115000,223500,88320,91680,180000,814,797,805
1992-93,108500,115000,223500,73120,96275,169395,674,837,758
1993-94,108500,118000,226500,98300,113700,212000,906,964,936
1994-95,108500,120000,228500,79000,101100,180100,728,843,788
1995-96,120100,121900,242000,103250,119750,223000,860,982,921
1996-97,125017,126267,251284,90450,114550,205000,724,907,816
1997-98,130664,154988,285652,99300,129000,228300,760,832,799
1998-99,143007,159227,302234,97000,168000,265000,678,1055,877
1999-00,146052,162381,308433,119000,173000,292000,815,1065,947
2000-01,146502,167432,313934,104400,196800,301200,713,1175,959
2001-02,149056,171681,320737,121050,179550,300600,812,1046,937
2002-03,146780,173835,320615,102125,173150,275275,696,996,859
2003-04,148389,176735,325124,101950,168550,270500,687,954,832
2004-05,153280,180058,333338,103400,172100,275500,675,956,826
2005-06,151547,189804,341351,94000,180000,274000,620,948,803
2006-07,151861,191179,343040,99700,188300,288000,657,985,840
2007-08,151013,193495,344508,92500,169500,262000,613,876,761
2008-09,156421,194079,350500,79500,182800,262300,508,942,748
2009-10,159828,195674,355502,94600,195000,289600,592,997,815
2010-11,163737,196748,360485,94140,207860,302000,575,1056,838
2011-12,169906,198781,368687,101500,212500,314000,597,1069,852
2012-13,176131,200174,376305,98600,219600,318200,560,1097,846
2013-14,181129,200175,381304,102200,202300,304500,564,1011,799
2014-15,185978,200217,386195,98000,229000,327000,527,1144,847
2015-16,192734,204413,397147,103500,244500,348000,537,1196,876
2016-17,195412,214512,409924,95000,217000,312000,486,1012,761
2017-18,198671,214349,413020,95000,221000,316000,478,1031,765
2018-19,202218,214523,416741,95000,224500,319500,470,1047,767
2019-20,203546,214621,418167,87000,211000,298000,427,983,713
